19510 | 咖啡豆 | CoFeel 凱飛鮮烘豆尼加拉瓜花語阿拉比卡咖啡豆半磅 | 尼加拉瓜 | NT499
19506 | 咖啡豆 | CoFeel 凱飛鮮烘豆醬香耶加特調阿拉比卡咖啡豆一磅(227gx2袋) | 緬甸/衣索比亞 | NT899
19505 | 咖啡豆 | CoFeel 凱飛鮮烘豆緬甸伊濃莊園厭氧圓豆咖啡豆一磅(227gx2袋) | 緬甸 | NT899
19504 | 咖啡豆 | CoFeel 凱飛鮮烘豆醬香耶加特調阿拉比卡咖啡豆半磅(227g/袋) | 緬甸/衣索比亞 | NT499
19503 | 咖啡豆 | CoFeel 凱飛鮮烘豆緬甸伊濃莊園厭氧圓豆咖啡豆半磅(227g/袋) | 緬甸 | NT499
19500 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加奇里波紅蜜處理咖啡豆一磅(227gx2袋) | 哥斯大黎加 | NT899
19499 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加奇里波紅蜜處理咖啡豆半磅(227g/袋) | 哥斯大黎加 | NT499
19432 | 咖啡豆 | CoFeel 凱飛鮮烘豆宏都拉斯帕萊伊內瑪 Parainema 蜜處理咖啡豆一磅(227gx2袋) | 宏都拉斯 | NT899
19431 | 咖啡豆 | CoFeel 凱飛鮮烘豆宏都拉斯帕萊伊內瑪 Parainema 蜜處理咖啡豆半磅(227g/袋) | 宏都拉斯 | NT499
19410 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆一磅(227gx2袋) | 衣索比亞 | NT1149
19409 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆半磅(227g/袋) | 衣索比亞 | NT599
19408 | 咖啡豆 | CoFeel 凱飛鮮烘豆印度賴比瑞亞咖啡豆一磅(227gx2袋) | 印度 | NT1299
19407 | 咖啡豆 | CoFeel 凱飛鮮烘豆印度賴比瑞亞咖啡豆半磅(227g/袋) | 印度 | NT699
19406 | 咖啡豆 | CoFeel 凱飛鮮烘豆非洲喀麥隆 Java G1 咖啡豆一磅-中深烘焙(227gx2袋) | 非洲 | NT799
19405 | 咖啡豆 | CoFeel 凱飛鮮烘豆非洲喀麥隆 Java G1 咖啡豆半磅-中深烘焙(227g/袋) | 非洲 | NT449
19350 | 咖啡豆 | CoFeel 凱飛鮮烘豆緬甸依濃巧克力堅果高山阿拉比卡咖啡豆一磅-中深烘焙(227gx2袋) | 緬甸 | NT698
19349 | 咖啡豆 | CoFeel 凱飛鮮烘豆緬甸依濃巧克力堅果高山阿拉比卡咖啡豆半磅-中深烘焙(227g/袋) | 緬甸 | NT390
19348 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞古吉G1水仙蜜處理咖啡豆一磅-淺中烘焙(227gx2袋) | 衣索比亞 | NT1299
19347 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞古吉G1水仙蜜處理咖啡豆半磅-淺中烘焙(227g/袋) | 衣索比亞 | NT699
19082 | 器具配件 | Hiles 真空虹吸式冷熱萃取機+凱飛現烘宏都拉斯阿拉比卡咖啡豆1公斤 | 中國 | NT3990
19081 | 咖啡豆 | CoFeel 凱飛 現烘豆宏都拉斯希望曙光咖啡豆1公斤-中深烘焙 | 宏都拉斯 | NT999
19074 | 濾掛咖啡 | CoFeel 凱飛不鏽鋼濾掛咖啡架+凱飛濾掛5包 | 中國 | NT499
19053 | 咖啡豆 | CoFeel 凱飛嚴選 永騰醇香阿拉比卡咖啡豆氣閥式豆罐裝 | 中南美洲 | NT799
19049 | 咖啡豆 | CoFeel 凱飛 現烘豆宏都拉斯希望曙光咖啡豆一磅-中深烘焙(227gx2袋) | 宏都拉斯 | NT698
19048 | 咖啡豆 | CoFeel 凱飛 現烘豆宏都拉斯希望曙光咖啡豆半磅-中深烘焙(227g/袋) | 宏都拉斯 | NT390
19027 | 器具配件 | Hiles 真空虹吸式冷熱萃取機+凱飛現烘阿拉比卡咖啡豆一磅 | 中國 | NT3380
19005 | 濾掛咖啡 | CoFeeL凱飛 鮮烘品味世界濾掛咖啡/耳掛咖啡包10g(5種風味x20包) | 衣索比亞 | NT499
19004 | 濾掛咖啡 | CoFeeL凱飛 鮮烘品味世界濾掛咖啡/耳掛咖啡包10g(5種風味x10包) | 衣索比亞 | NT299
18957 | 濾掛咖啡 | CoFeeL凱飛現烘啡享濾掛系列-衣索柑橘耳掛20包 | 衣索比亞 | NT449
18875 | 咖啡豆 | CoFeel 凱飛鮮烘單品咖啡豆大包裝(2.3磅/1公斤) | ◆耶加雪菲：衣索比亞 | NT1299
18872 | 咖啡豆 | CoFeel 凱飛鮮烘咖啡豆大包裝(2.3磅/1公斤) | ◆雨林風情：巴西 | NT999
18835 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選特調咖啡豆(227gx2袋) | 哥倫比亞/巴西/衣索比亞 | NT788
18834 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選特調咖啡豆(227g/袋) | 哥倫比亞/巴西/衣索比亞 | NT399
18770 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【夢幻奇境】 | 衣索比亞/哥斯大黎加 | NT399
18769 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【靈感火花】 | 衣索比亞/瓜地馬拉 | NT399
18768 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【堅毅堅定】 | 哥倫比亞/印尼 | NT369
18767 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【無限探索】 | 新幾內亞/肯亞 | NT369
18766 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【深邃神秘】 | 衣索比亞/哥倫比亞 | NT450
18765 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【平衡之美】 | 瓜地馬拉/哥斯大黎加 | NT349
18764 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【純淨之心】 | 哥倫比亞/印尼 | NT369
18763 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【驕陽榮耀】 | 瓜地馬拉/肯亞 | NT349
18762 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【溫暖懷抱】 | 瓜地馬拉/哥斯大黎加 | NT349
18761 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【輕盈跳躍】 | 衣索比亞/新幾內亞 | NT399
18760 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【舒適之地】 | 哥倫比亞/哥斯大黎加 | NT349
18759 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【熱情晨曦】 | 衣索比亞/瓜地馬拉 | NT399
18380 | 咖啡豆 | CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227gx2包) | 瓜地馬拉 | NT698
18379 | 咖啡豆 | CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227g/包) | 瓜地馬拉 | NT399
18378 | 咖啡豆 | CoFeel 凱飛特調酒香花神咖啡豆-中烘焙(227gx2包) | 衣索比亞+瓜地馬拉 | NT799
18377 | 咖啡豆 | CoFeel 凱飛特調酒香花神咖啡豆-中烘焙(227g/包) | 衣索比亞+瓜地馬拉 | NT449
